trial,tropical_year,correction_period,amplitude,coupling_strength,top3_error,bounded_90deg,bounded_strict,dynamically_bounded,both_strict
1978,365.20241214660297,293.8316371360368,48.323622677147604,17.392795128748013,0.057495071528045026,True,False,True,False
1979,365.26340969689306,294.0971768301094,27.20387559322328,24.518298745713988,0.040785864075288204,True,False,True,False
1980,365.2673272403745,294.99305261759724,30.870382205142008,25.18072675313438,0.03971291257014751,True,False,True,False
1981,365.1175264589835,293.2704346274257,135.22806413641257,12.382780675329993,0.08075730534356336,False,False,True,False
1982,365.19390675982385,293.26601959781465,57.031206635152415,16.715303671285287,0.05982541625719128,True,False,True,False
1983,365.32364831824503,293.31747352674864,83.58280344641253,41.16915798791285,0.02429002799361593,True,False,True,False
1984,365.21310089833037,294.33843805984975,37.3807936710656,18.326204547022797,0.05456667240803312,True,False,True,False
1985,365.18349600177953,293.9676050797213,67.68948163253768,15.9545738662754,0.06267795106165693,True,False,True,False
1986,365.1506058876397,294.1875612638869,101.36173332953905,13.948777531169835,0.07169087024044991,False,False,True,False
1987,365.189624504418,294.15118685728015,61.415269991397025,16.39378413991382,0.06099872924185379,True,False,True,False
1988,365.23701843878547,294.1069435524197,12.894820195435564,20.826998163905234,0.04801460067025289,True,True,True,True
1989,365.1802373648737,294.14057387746277,71.02559835964306,15.730480996499464,0.06357084695773334,True,False,True,False
1990,365.2761373493881,293.0503981896421,39.11595137856966,26.80961486152046,0.037300050939384766,True,False,True,False
1991,365.20156988255314,293.7096637110863,49.18590895699218,17.32326637908093,0.05772583403829492,True,False,True,False
1992,365.2587325652308,293.52232486502174,22.826460177025027,23.771667664711753,0.042066884583131986,True,False,True,False
1993,365.31474007190656,294.3899062386861,75.24528380691883,37.41236199439178,0.02672913301089899,True,False,True,False
1994,365.31101482250097,294.47005037237966,71.75870648148474,36.0371360660469,0.027749152933997157,True,False,True,False
1995,365.25784660700066,294.22021584407247,21.99727581299855,23.635329432604745,0.04230954355222602,True,False,True,False
1996,365.1866109875243,293.5226660357708,64.50043401416141,16.174835275896754,0.061824431775832016,True,False,True,False
1997,365.24039872106465,293.83819894583416,9.434211988390423,21.236535000828674,0.04708866111919759,True,True,True,True
1998,365.25952549888024,293.5763690519191,23.5685813101571,23.895030742788094,0.041849705520961344,True,False,True,False
1999,365.3677678275792,293.01292871557945,124.87597901034437,81.88851276695779,0.01221172501747403,False,False,True,False
2000,365.1501861127747,294.46921660142107,101.79149225933992,13.926429869567224,0.07180591216599261,False,False,True,False
2001,365.24057596944755,293.047892530541,9.252751713318187,21.258454117881055,0.04704010905284375,True,True,True,True
2002,365.27421714675376,293.34881853422297,37.3187911348416,26.436887815357107,0.03782593499599083,True,False,True,False
2003,365.2483439100828,293.9432989815012,13.103541418596278,22.265589284870344,0.04491235274332076,True,True,True,True
2004,365.253829337147,294.1010633611925,18.237442519507724,23.03623793960756,0.04340986590873162,True,False,True,False
2005,365.2043518011492,293.81473104842564,46.33785947561863,17.555054441766877,0.056963651312912256,True,False,True,False
2006,365.2901092909921,293.3925886046221,52.19262817758093,29.87416837869486,0.033473735145483165,True,False,True,False
2007,365.24477304884255,293.0451290234107,9.761517742799322,21.79102417130624,0.04589045435123557,True,True,True,True
2008,365.2536437344103,294.7813169109237,18.063733757703616,23.009292013414534,0.04346070272031816,True,False,True,False
2009,365.2959059006358,294.19389044682634,57.61782858703182,31.36135418612718,0.03188637818587419,True,False,True,False
2010,365.2273158899563,294.4997198625765,22.827946762647347,19.734587831403683,0.050672454299182185,True,False,True,False
2011,365.3077891869287,294.82608293377973,68.73973604942343,34.92548229549862,0.028632389140375174,True,False,True,False
2012,365.1786869455644,293.5375952300604,72.61288251083339,15.62605441110191,0.0639956814235541,True,False,True,False
2013,365.25653779271505,293.3972891537948,20.77233314853401,23.436755205228103,0.04266802256725911,True,False,True,False
2014,365.2014212185842,294.11026757350635,49.33810697101505,17.311051838620035,0.05776656492755994,True,False,True,False
2015,365.18887825340505,294.17598325892766,62.1792631080561,16.33901482564104,0.06120320047881261,True,False,True,False
2016,365.33820837510723,293.1631498512227,97.21007880930479,49.252116208794746,0.020303696104360166,False,False,True,False
2017,365.1810452490222,293.1755764741163,70.19850510698072,15.785449741137317,0.06334947793055097,True,False,True,False
2018,365.24575268749555,293.42798935739665,10.678376243243756,21.919192934626448,0.0456221177021654,True,True,True,True
2019,365.1775146187398,293.5665688069852,73.81308452907712,15.5480091327298,0.06431691616998862,True,False,True,False
2020,365.30416920032206,293.0277242718257,65.35168346964424,33.75684191653091,0.029623624226242994,True,False,True,False
2021,365.2223785160949,294.29875764047324,27.882664310462076,19.22152040586597,0.05202502085604127,True,False,True,False
2022,365.2956089666847,294.86550587812064,57.339920045691976,31.28158458586163,0.0319676900399723,True,False,True,False
2023,365.2723960444794,293.0402756978986,35.614381935646435,26.092844219817884,0.03832468364029422,True,False,True,False
2024,365.35737193760525,294.3260544074463,115.14601657821817,66.41219467663471,0.015057475586660929,False,False,True,False
2025,365.168217788843,294.35813320899126,83.33098303738043,14.955628824925535,0.06686445696842701,True,False,True,False
2026,365.19352105809867,294.7595048045887,57.426077997380894,16.68582890872535,0.05993109515087261,True,False,True,False
2027,365.2925466668236,293.09844182908154,54.47383175461682,30.481975770818515,0.03280627238596967,True,False,True,False
2028,365.25899724815133,293.51238302887873,23.07418175589839,23.812704704734482,0.04199438965037761,True,False,True,False
2029,365.23081618700235,293.4413021192435,19.24446374935471,20.115224339390608,0.049713589226134135,True,False,True,False
2030,365.3446806047893,293.47813276815003,103.26768525250382,53.96131140628042,0.018531795724364336,False,False,True,False
2031,365.2422241409479,294.51608084202246,7.565415644033584,21.464458894658424,0.04658864241151948,True,True,True,True
2032,365.2031973526889,293.82136526602056,47.51975089202842,17.458118038086916,0.057279942650083106,True,False,True,False
2033,365.2962892404625,293.4193805548604,57.97660676315663,31.46493965849545,0.031781405299151834,True,False,True,False
2034,365.2438913705536,294.86908776143105,8.936342012912066,21.676946097528482,0.04613195952514806,True,True,True,True
2035,365.247758630092,293.60677108725827,12.555768709171891,22.18639532369457,0.04507266662340694,True,True,True,True
2036,365.2768327877909,294.3833113037331,39.76682782625522,26.947209934656286,0.037109593253805445,True,False,True,False
2037,365.278921877273,294.9312779505336,41.7220543737365,27.369167678300578,0.03653746477620662,True,False,True,False
2038,365.1928998095666,294.3434177184881,58.062096109704235,16.63857180717764,0.06010131227540902,True,False,True,False
2039,365.22798224510353,294.4586196009544,22.145755190172295,19.805936383596567,0.050489912753037415,True,False,True,False
2040,365.17354702742597,294.0089118833387,77.8750183509415,15.289559092141051,0.065404109691692,True,False,True,False
2041,365.2597639950176,293.6243794731383,23.791794245147923,23.932386266177907,0.0417843832569774,True,False,True,False
2042,365.3370783508373,294.4904294853817,96.15244705742876,48.51291200471302,0.02061306894755875,False,False,True,False
2043,365.19479536413655,293.4644493818027,56.12147686214512,16.783607202348776,0.05958194730987599,True,False,True,False
2044,365.1650499242395,293.3972632277237,86.57418080393694,14.763949649663738,0.06773255285537877,True,False,True,False
2045,365.21055224850573,294.56677443999166,39.99002375362725,18.094664123796555,0.05526491086866241,True,False,True,False
2046,365.2303915006394,294.50255784874753,19.679242797413316,20.068261765197345,0.04982992606435968,True,False,True,False
2047,365.27939928551575,294.7939905787288,42.16887179635464,27.467456339047892,0.036406720289508365,True,False,True,False
2048,365.2252338860365,294.9125837630267,24.95943174090678,19.514935428892677,0.05124280342324158,True,False,True,False
2049,365.26069305576345,293.7533528808589,24.661319468028477,24.079024592610935,0.04152992145316664,True,False,True,False
2050,365.2173433987441,293.97234730820975,33.037454399811175,18.72504839171145,0.05340440137087416,True,False,True,False
2051,365.233061551281,293.21802723128184,16.945739037067725,20.367217736892833,0.049098507853069046,True,False,True,False
