trial,vernal_offset,correction_period,calendar_year,tropical_year,amplitude,coupling_strength,top3_error,bounded_90deg,bounded_strict,dynamically_bounded,both_strict
23,0.0,292.0,365.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
24,0.0,292.0,366.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
25,0.0,292.0,367.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
26,0.0,292.0,368.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
27,0.0,293.0,360.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
28,0.0,293.0,361.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
29,0.0,293.0,362.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
30,0.0,293.0,363.0,365.24219,2796.0144869410315,21.46015115307116,0.046597994248371834,False,False,True,False
31,0.0,293.0,364.0,365.24219,54.82381346943199,21.46015115307116,0.046597994248371834,True,False,True,False
32,0.0,293.0,365.0,365.24219,2796.0144869410315,21.46015115307116,0.046597994248371834,False,False,True,False
33,0.0,293.0,366.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
34,0.0,293.0,367.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
35,0.0,293.0,368.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
36,0.0,294.0,360.0,365.24219,1836.5977512259715,21.46015115307116,0.046597994248371834,False,False,True,False
37,0.0,294.0,361.0,365.24219,1379.7326389807051,21.46015115307116,0.046597994248371834,False,False,True,False
38,0.0,294.0,362.0,365.24219,922.8675267354383,21.46015115307116,0.046597994248371834,False,False,True,False
39,0.0,294.0,363.0,365.24219,466.00241449017193,21.46015115307116,0.046597994248371834,False,False,True,False
40,0.0,294.0,364.0,365.24219,9.137302244905332,21.46015115307116,0.046597994248371834,True,True,True,True
41,0.0,294.0,365.0,365.24219,466.00241449017193,21.46015115307116,0.046597994248371834,False,False,True,False
42,0.0,294.0,366.0,365.24219,922.8675267354383,21.46015115307116,0.046597994248371834,False,False,True,False
43,0.0,294.0,367.0,365.24219,1379.7326389807051,21.46015115307116,0.046597994248371834,False,False,True,False
44,0.0,294.0,368.0,365.24219,1836.5977512259715,21.46015115307116,0.046597994248371834,False,False,True,False
45,0.0,295.0,360.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
46,0.0,295.0,361.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
47,0.0,295.0,362.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
48,0.0,295.0,363.0,365.24219,2796.0144869410315,21.46015115307116,0.046597994248371834,False,False,True,False
49,0.0,295.0,364.0,365.24219,54.82381346943199,21.46015115307116,0.046597994248371834,True,False,True,False
50,0.0,295.0,365.0,365.24219,2796.0144869410315,21.46015115307116,0.046597994248371834,False,False,True,False
51,0.0,295.0,366.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
52,0.0,295.0,367.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
53,0.0,295.0,368.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
54,0.0,296.0,360.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
55,0.0,296.0,361.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
56,0.0,296.0,362.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
57,0.0,296.0,363.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
58,0.0,296.0,364.0,365.24219,100.51032469395864,21.46015115307116,0.046597994248371834,False,False,True,False
59,0.0,296.0,365.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
60,0.0,296.0,366.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
61,0.0,296.0,367.0,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
