tropical_year,cycle_years,annual_drift,residual,coupling_strength,top3_error,strong_alignments,predicted_amplitude,amplitude_raw,bounded_dynamically,calendar_acceptable_15deg,calendar_acceptable_5deg,calendar_acceptable_2deg,both_15deg,both_5deg,both_2deg
372.7499999999793,287.0985915493117,8.749999999979309,-7.482142857122237,4.74897570770307,0.21057172357777096,37,7516.486504847953,7516.486504847953,True,False,False,False,False,False,False
372.7599999999793,287.09088958044305,8.7599999999793,-7.492108843516785,4.729019945065828,0.21146030501380766,37,7526.597416341163,7526.597416341163,True,False,False,False,False,False,False
372.7699999999793,287.08318802480335,8.76999999997929,-7.502074829911334,4.709232250890739,0.21234883877533384,37,7536.708320058797,7536.708320058797,True,False,False,False,False,False,False
372.7799999999793,287.0754868823594,8.779999999979282,-7.512040816305882,4.689610510859462,0.21323732486618183,37,7546.819216001479,7546.819216001479,True,False,False,False,False,False,False
372.7899999999793,287.06778615307803,8.789999999979273,-7.522006802700432,4.670152645970099,0.21412576329017974,37,7556.9301041698345,7556.9301041698345,True,False,False,False,False,False,False
372.79999999997926,287.06008583692585,8.799999999979264,-7.53197278909498,4.650856611802342,0.21501415405117616,37,7567.040984564488,7567.040984564488,True,False,False,False,False,False,False
372.80999999997925,287.0523859338697,8.809999999979254,-7.541938775489529,4.631720397802183,0.2159024971530048,37,7577.151857186069,7577.151857186069,True,False,False,False,False,False,False
372.81999999997925,287.0446864438763,8.819999999979245,-7.551904761884078,4.612742026583161,0.21679079259950274,37,7587.2627220352015,7587.2627220352015,True,False,False,False,False,False,False
372.82999999997924,287.0369873669124,8.829999999979236,-7.5618707482786265,4.593919553245501,0.21767904039449767,37,7597.373579112509,7597.373579112509,True,False,False,False,False,False,False
372.8399999999792,287.0292887029449,8.839999999979227,-7.571836734673175,4.575251064711387,0.21856724054182178,37,7607.484428418617,7607.484428418617,True,False,False,False,False,False,False
372.8499999999792,287.02159045194037,8.849999999979218,-7.581802721067724,4.556734679076679,0.21945539304531722,37,7617.595269954154,7617.595269954154,True,False,False,False,False,False,False
372.8599999999792,287.0138926138657,8.859999999979209,-7.591768707462273,4.538368544979137,0.2203434979088057,37,7627.70610371974,7627.70610371974,True,False,False,False,False,False,False
372.8699999999792,287.0061951886877,8.8699999999792,-7.601734693856821,4.520150840980314,0.22123155513613868,30,7637.816929716006,7637.816929716006,True,False,False,False,False,False,False
372.8799999999792,286.998498176373,8.87999999997919,-7.611700680251371,4.50207977496475,0.22211956473113134,30,7647.927747943572,7647.927747943572,True,False,False,False,False,False,False
372.8899999999792,286.99080157688854,8.889999999979182,-7.621666666645919,4.507789831641636,0.22183820394213508,30,7657.847845195663,7657.847845195663,True,False,False,False,False,False,False
372.8999999999792,286.98310539020105,8.899999999979173,-7.631632653040468,4.563072759270621,0.21915057084468756,30,7667.375486295095,7667.375486295095,True,False,False,False,False,False,False
372.90999999997916,286.9754096162773,8.909999999979163,-7.641598639435017,4.619725411206158,0.216463081891032,30,7676.90315090397,7676.90315090397,True,False,False,False,False,False,False
372.91999999997915,286.96771425508416,8.919999999979154,-7.6515646258295655,4.6777993317106175,0.21377573706957445,30,7686.430839020395,7686.430839020395,True,False,False,False,False,False,False
372.92999999997915,286.9600193065883,8.929999999979145,-7.661530612224114,4.737348684123824,0.2110885363687243,30,7695.958550642479,7695.958550642479,True,False,False,False,False,False,False
372.93999999997914,286.95232477075666,8.939999999979136,-7.671496598618663,4.798430419355174,0.20840147977687726,30,7705.486285768333,7705.486285768333,True,False,False,False,False,False,False
372.9499999999791,286.9446306475559,8.949999999979127,-7.681462585013212,4.861104457551551,0.20571456728244872,30,7715.014044396064,7715.014044396064,True,False,False,False,False,False,False
372.9599999999791,286.936936936953,8.959999999979118,-7.69142857140776,4.925433884161897,0.2030277988738363,30,7724.54182652378,7724.54182652378,True,False,False,False,False,False,False
372.9699999999791,286.92924363891467,8.969999999979109,-7.70139455780231,4.991485161742802,0.20034117453949216,30,7734.0696321496,7734.0696321496,True,False,False,False,False,False,False
372.9799999999791,286.9215507534077,8.9799999999791,-7.711360544196858,5.059328359007991,0.19765469426777338,30,7743.597461271622,7743.597461271622,True,False,False,False,False,False,False
372.9899999999791,286.9138582803989,8.98999999997909,-7.721326530591407,5.129037398767998,0.19496835804710674,30,7753.12531388796,7753.12531388796,True,False,False,False,False,False,False
372.9999999999791,286.9061662198552,8.999999999979082,-7.731292516985955,5.200690326617623,0.1922821658659247,30,7762.653189996728,7762.653189996728,True,False,False,False,False,False,False
373.0099999999791,286.8984745717434,9.009999999979073,-7.741258503380505,5.274369602417556,0.18959611771265342,30,7772.181089596037,7772.181089596037,True,False,False,False,False,False,False
373.01999999997906,286.89078333603027,9.019999999979063,-7.751224489775053,5.350162416860845,0.18691021357567314,30,7781.709012683993,7781.709012683993,True,False,False,False,False,False,False
373.02999999997905,286.88309251268265,9.029999999979054,-7.761190476169602,5.428161035674759,0.18422445344341057,30,7791.2369592587065,7791.2369592587065,True,False,False,False,False,False,False
373.03999999997905,286.8754021016674,9.039999999979045,-7.77115646256415,5.508463174321924,0.18153883730430806,30,7800.764929318295,7800.764929318295,True,False,False,False,False,False,False
373.04999999997904,286.8677121029514,9.049999999979036,-7.781122448958699,5.591172406398281,0.17885336514675276,30,7810.292922860864,7810.292922860864,True,False,False,False,False,False,False
373.059999999979,286.86002251650143,9.059999999979027,-7.791088435353248,5.676398609309367,0.17616803695920633,30,7819.82093988453,7819.82093988453,True,False,False,False,False,False,False
