trial,vernal_offset,correction_period,calendar_year,tropical_year,amplitude,coupling_strength,top3_error,bounded_90deg,bounded_strict,dynamically_bounded,both_strict
21,129.8582109164665,292.2474760774991,364.341568665266,365.24219,1435.4958551913878,21.46015115307116,0.046597994248371834,False,False,True,False
22,51.2964178908136,296.4175758460323,360.59640514943817,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
23,359.22684492258827,296.17795815437324,361.5897254522734,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
24,2.0100506329912733,296.52369142763865,365.65485875078093,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
25,265.3586091669194,296.17016277348756,360.59235721387273,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
26,130.48152519011524,290.92695247620105,366.90482740700475,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
27,226.88051816523108,292.6471841988212,360.5084668022882,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
28,113.19756510450104,292.60146657621397,365.83684942670453,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
29,232.07091957329757,297.0977019406106,363.7777194012956,365.24219,1621.3963548825625,21.46015115307116,0.046597994248371834,False,False,True,False
30,43.53230552154182,295.705958297784,366.08628038893517,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
31,204.30489991529663,296.1677374396365,363.95036477091514,365.24219,325.74931821422166,21.46015115307116,0.046597994248371834,False,False,True,False
32,190.27474989504583,293.42032814686837,360.2033530139528,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
33,39.27247942556282,290.25143348549386,365.09128329011025,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
34,114.42557711178291,294.0685655293176,367.26053179140877,365.24219,1817.7460259429188,21.46015115307116,0.046597994248371834,False,False,True,False
35,90.74237141019049,293.283063384285,366.0444091083444,365.24219,3992.113661417845,21.46015115307116,0.046597994248371834,False,False,True,False
36,83.28253223895058,290.61583927863035,362.31801162331016,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
37,58.68454856045761,297.4375812187406,366.4649630365153,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
38,230.55896736979415,296.97168472150173,366.4293766151929,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
39,67.91150143451705,297.1404719879198,364.3147379353252,365.24219,2407.537059545244,21.46015115307116,0.046597994248371834,False,False,True,False
40,293.90821647971876,297.1687303993879,362.54402779977494,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
41,40.05890052807434,291.8234813003355,363.41686230901007,365.24219,3163.3112927546717,21.46015115307116,0.046597994248371834,False,False,True,False
42,297.7573747957875,296.88584466605073,360.0556170442495,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
43,185.91201813823392,293.3392880251902,361.77686248376585,365.24219,3745.8460157386753,21.46015115307116,0.046597994248371834,False,False,True,False
44,43.63099370946054,292.700921371229,367.54327763130016,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
45,117.6458672555549,294.1503249739469,365.6241516711614,365.24219,1184.785281527039,21.46015115307116,0.046597994248371834,False,False,True,False
46,132.36117526606301,297.7742566617677,367.6995783595369,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
47,91.64875568043256,293.9779880471391,362.40702647853414,365.24219,754.5891242784645,21.46015115307116,0.046597994248371834,False,False,True,False
48,103.68193995339821,290.29509557883625,364.8765146718392,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
49,182.9751644553056,290.4118300099999,362.22917171389287,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
50,330.608782491862,291.91649512533576,361.15915897672977,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
51,178.16080474103293,297.8852036328848,361.93644217209203,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
52,244.6573392557398,296.09295692262975,361.9011003519392,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
53,265.07075089471687,292.94226506175403,365.05844664474864,365.24219,2839.129088487149,21.46015115307116,0.046597994248371834,False,False,True,False
54,230.60481471696568,294.2861974725981,360.7223181604353,365.24219,3249.180363470658,21.46015115307116,0.046597994248371834,False,False,True,False
55,304.0501083944826,292.5662405197739,361.49214808319886,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
56,14.842151525934066,294.72714354550595,365.42051489473823,365.24219,3012.554067522735,21.46015115307116,0.046597994248371834,False,False,True,False
57,6.03796972973964,294.0967444663942,361.8119662015835,365.24219,1489.0941869656754,21.46015115307116,0.046597994248371834,False,False,True,False
58,234.84289570903974,291.3949314320399,365.5275019048197,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
59,140.77166605339562,297.4938399098939,361.1001675531679,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
